x,y,z,LR
-26.72666,38.825737,34.060535,L
-45.491604,-41.169434,42.728794,L
-54.62876,-41.334812,49.441498,L
-48.57668,-34.40662,41.132484,L
-52.12976,-28.675312,36.3135,L
-55.364082,-23.614147,32.864067,L
-57.816456,-17.635021,47.540165,L
-60.3608,-17.391397,40.55967,L
-60.82721,-16.83317,31.673428,L
-64.14779,-7.2410707,26.597034,L
-59.006428,-7.7464013,17.572353,L
-19.767279,-58.476208,65.69633,L
-22.300768,-64.20406,56.90559,L
-28.534216,-58.82179,64.80333,L
-36.689487,-56.51348,59.746765,L
-35.5819,-52.159832,51.561634,L
-29.037205,-38.146397,53.788403,L
-36.3583,-43.158813,53.41024,L
-33.931778,-47.750866,42.745216,L
-36.755157,-45.182415,38.6895,L
-40.122765,-42.854874,40.60427,L
-2.456102,-9.779354,49.946968,L
-10.117737,-19.5227,44.16337,L
-3.9356735,-22.284214,51.98359,L
-2.7203372,-29.238028,52.281452,L
-7.2625403,-40.02145,54.989082,L
-3.510016,-29.921696,73.452255,L
-2.9492953,-43.147522,64.41117,L
-14.34889,-43.929615,64.36674,L
-8.489319,-52.157795,71.11839,L
-15.0595455,-55.64693,63.545105,L
-19.610968,36.61642,35.79163,L
-21.79601,36.689896,45.3044,L
-14.333928,32.243263,51.767487,L
-21.232887,13.123685,54.483227,L
-17.180923,20.568293,60.46166,L
-6.624002,25.34055,61.860313,L
-3.4022956,13.598765,62.862164,L
-5.2508907,2.3450642,58.24291,L
-7.4458404,1.6268847,48.72866,L
-3.3593788,24.294428,-7.1577682,L
-0.8487129,14.491612,1.4161229,L
-0.75595105,29.173916,-0.72841805,L
-2.065822,31.790705,9.978317,L
-2.4968266,28.810125,17.868277,L
-11.311666,42.72834,16.06949,L
-10.891781,32.838314,23.140692,L
-6.732131,24.240643,29.876154,L
-10.036604,15.564944,35.855865,L
-8.35221,8.94032,42.32463,L
-39.535667,24.257725,-8.570406,L
-33.047997,20.133835,-14.588585,L
-39.711533,27.639063,-18.449253,L
